Alessandri;jorge.alessandri@congreso.cl;M
Alinco;rene.alinco@congreso.cl;M
Álvarez;sebastian.alvarez@congreso.cl;M
Alvarez-Salamanca;palvarez-salamanca@congreso.cl;M
Amar;sandra.amar@congreso.cl;F
Ascencio;gabriel.ascencio @congreso.cl;M
Auth;pepeauth@congreso.cl;M
Baltolu;nino.baltolu@congreso.cl;M
Barros;jbarros@congreso.cl;M
Bellolio;jaime.bellolio@congreso.cl;M
Berger Fett, Bernardo;bernardo.berger@congreso.cl;M
Bianchi Retamales, Karim;karim.bianchi@congreso.cl;M
Bobadilla Mu–oz, Sergio;sergio.bobadilla@congreso.cl;M
Calisto çguila, Miguel çngel;miguelangel.calisto@congreso.cl;M
Carter Fern‡ndez, çlvaro;alvaro.carter@congreso.cl;M
Castro Bascu–‡n, JosŽ Miguel;josemiguel.castro@congreso.cl;M
Celis Araya, Ricardo;ricardo.celis@congreso.cl;M
Celis Montt, AndrŽs;andres.celis@congreso.cl;M
Cid Versalovic, Sof’a;sofia.cid@congreso.cl;F
Coloma çlamos, Juan Antonio;juanantoniocoloma@congreso.cl;M
Cruz-Coke Carvallo, Luciano;luciano.cruz-coke@congreso.cl;F
DelReal Mihovilovic, Catalina;catalina.delreal@congreso.cl;M
Desbordes JimŽnez, Mario;mario.desbordes@congreso.cl;M
Dur‡n Espinoza, Jorge;jorge.duran@congreso.cl;M
Dur‡n Salinas, Eduardo;eduardo.duran@congreso.cl;M
Eguiguren Correa, Francisco;francisco.eguiguren@congreso.cl;M
Flores Garc’a, Iv‡n;ivan.flores@congreso.cl;F
Fuenzalida Cobo, Juan;juan.fuenzalida@congreso.cl;M
Fuenzalida Figueroa, Gonzalo;gonzalo.fuenzalida@congreso.cl;M
Gahona Salazar, Sergio;sergio.gahona@congreso.cl;M
Galleguillos Castillo, Ram—n;ramon.galleguillos@congreso.cl;M
García Garc’a, RenŽ Manuel;rmgarcia@congreso.cl;M
González Gatica, FŽlix;felix.gonzalez@congreso.cl;M
González Torres, Rodrigo;rodrigogonzalez@congreso.cl;M
Hernández Hern‡ndez, Javier;jhernandez@congreso.cl;M
Hoffmann Opazo, Mar’a JosŽ;mjhoffmann@congreso.cl;F
Jarpa Wevar, Carlos Abel;cjarpa@congreso.cl;M
Jiménez Fuentes, Tucapel;tjimenez@congreso.cl;M
Júrgensen Rundshagen, Harry;harry.jurgensen@congreso.cl;M
Kast Sommerhoff, Pablo;pablo.kast@congreso.cl;M
Keitel Bianchi, Sebasti‡n;sebastian.keitel@congreso.cl;M
Kort Garriga, Issa;ikort@congreso.cl;M
Kuschel Silva, Carlos;carlos.kuschel@congreso.cl;M
Lavín Le—n, Joaqu’n;joaquin.lavin@congreso.cl;M
LeuquŽn Uribe, Aracely;aracely.leuquen@congreso.cl;F
Longton Herrera, AndrŽs;andres.longton@congreso.cl;M
Lorenzini Basso, Pablo;plorenzi@congreso.cl;M
Luck Urban, Karin;karin.luck@congreso.cl;M
Macaya Danœs, Javier;jmacaya@congreso.cl;M
Matta Aragay, Manuel;manueljose.matta@congreso.cl;M
Melero Abaroa, Patricio;pmelero@congreso.cl;M
Mellado Pino, Cosme;cosme.mellado@congreso.cl;M
Mellado Suazo, Miguel;miguel.mellado@congreso.cl;M
Meza Moncada, Fernando;fmeza@congreso.cl;M
Molina Magofke, AndrŽs;andres.molina@congreso.cl;M
Morales Mu–oz, Celso;cmorales@congreso.cl;M
Moreira Barros, Cristhian;cristhian.moreira@congreso.cl;M
Mulet Mart’nez, Jaime;jaime.mulet@congreso.cl;M
Muñoz Gonz‡lez, Francesca;francesca.munoz@congreso.cl;F
Noman Garrido, Nicol‡s;nicolas.noman@congreso.cl;M
Norambuena Far’as, Iv‡n;inorambuena@congreso.cl;M
Núñez Urrutia, Paulina;paulina.nunez@congreso.cl;F
Olivera De La Fuente, Erika;erika.olivera@congreso.cl;F
Ortiz Novoa, JosŽ Miguel;jmortiz@congreso.cl;M
Ossand—n Irarr‡zabal, Ximena;ximena.ossandon@congreso.cl;F
Pardo S‡inz, Luis;luis.pardo@congreso.cl;M
Paulsen Kehr, Diego;diego.paulsen@congreso.cl;M
Pérez Arriagada, JosŽ;jperez@congreso.cl;M
Pérez Lahsen, Leopoldo;lperezl@congreso.cl;M
Prieto Lorca, Pablo;pablo.prieto@congreso.cl;M
Ramírez Diez, Guillermo;guillermo.ramirez@congreso.cl;M
Rathgeb Schifferli, Jorge;jorge.rathgeb@congreso.cl;M
Rentería Moller, Rolando;rolando.renteria@congreso.cl;M
Rey Martínez, Hugo;hugo.rey@congreso.cl;M
Romero Sáez, Leonidas;leonidas.romero@congreso.cl;M
Sabat Fern‡ndez, Marcela;msabat@congreso.cl;F
Saffirio Espinoza, RenŽ;rsaffirio@congreso.cl;M
Saldívar Auger, Raœl;raul.saldivar@congreso.cl;M
